Date,Periode,Close,Intervensi
01/01/2018,1,186.85,0
08/01/2018,2,179.37,0
15/01/2018,3,181.29,0
22/01/2018,4,190.00,0
29/01/2018,5,190.28,0
05/02/2018,6,176.11,0
12/02/2018,7,177.36,0
19/02/2018,8,183.29,0
26/02/2018,9,176.62,0
05/03/2018,10,185.23,0
12/03/2018,11,185.09,0
19/03/2018,12,159.39,0
26/03/2018,13,159.79,0
02/04/2018,14,157.20,0
09/04/2018,15,164.52,0
16/04/2018,16,166.28,0
23/04/2018,17,173.59,0
30/04/2018,18,176.61,0
07/05/2018,19,186.99,0
14/05/2018,20,182.68,0
21/05/2018,21,184.92,0
28/05/2018,22,193.99,0
04/06/2018,23,189.10,0
11/06/2018,24,195.85,0
18/06/2018,25,201.74,0
25/06/2018,26,194.32,0
02/07/2018,27,203.23,0
09/07/2018,28,207.32,0
16/07/2018,29,209.94,0
23/07/2018,30,174.89,0
30/07/2018,31,177.78,0
06/08/2018,32,180.26,0
13/08/2018,33,173.80,0
20/08/2018,34,174.65,0
27/08/2018,35,175.73,0
03/09/2018,36,163.04,0
10/09/2018,37,162.32,0
17/09/2018,38,162.93,0
24/09/2018,39,164.46,0
01/10/2018,40,157.33,0
08/10/2018,41,153.74,0
15/10/2018,42,154.05,0
22/10/2018,43,145.37,0
29/10/2018,44,150.35,0
05/11/2018,45,144.96,0
12/11/2018,46,139.53,0
19/11/2018,47,131.73,0
26/11/2018,48,140.61,0
03/12/2018,49,137.42,0
10/12/2018,50,144.06,0
17/12/2018,51,124.95,0
24/12/2018,52,133.20,0
31/12/2018,53,137.95,0
07/01/2019,54,143.80,0
14/01/2019,55,150.04,0
21/01/2019,56,149.01,0
28/01/2019,57,165.71,0
04/02/2019,58,167.33,0
11/02/2019,59,162.50,0
18/02/2019,60,161.89,0
25/02/2019,61,162.28,0
04/03/2019,62,169.60,0
11/03/2019,63,165.98,0
18/03/2019,64,164.34,0
25/03/2019,65,166.69,0
01/04/2019,66,175.72,0
08/04/2019,67,179.10,0
15/04/2019,68,178.28,0
22/04/2019,69,191.49,0
29/04/2019,70,195.47,0
06/05/2019,71,188.34,0
13/05/2019,72,185.30,0
20/05/2019,73,181.06,0
27/05/2019,74,177.47,0
